市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
常规环境,2354,1211,1353,1001,1288,1066,51.44%,1621,837,51.63%,1214,1366,988,51.57%,838,51.70%
恐慌释放高,429,253,421,8,253,176,58.97%,321,197,61.37%,253,421,8,58.97%,197,61.37%
过热回落高,1707,991,1268,439,1070,637,58.06%,1094,664,60.69%,991,1268,439,58.06%,664,60.69%
