锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
2026-02-02,强上涨,恐慌释放高+弱势延续高,223,184,213,10,188,35,82.51%,147,125,85.03%,184,213,10,82.51%,125,85.03%
2026-02-03,普涨,弱势延续高,224,133,217,7,128,96,59.38%,117,68,58.12%,133,217,7,59.38%,68,58.12%
2026-02-04,普涨,常规环境,224,128,217,7,127,97,57.14%,94,51,54.26%,128,217,7,57.14%,51,54.26%
2026-02-05,普涨,常规环境,224,149,209,15,142,82,66.52%,137,98,71.53%,149,209,15,66.52%,98,71.53%
2026-02-06,震荡,常规环境,224,122,207,17,117,107,54.46%,124,76,61.29%,122,207,17,54.46%,76,61.29%
2026-02-09,普涨,过热回落高,224,133,182,42,125,99,59.38%,135,87,64.44%,133,182,42,59.38%,87,64.44%
2026-02-10,普涨,常规环境,224,143,193,31,138,86,63.84%,132,89,67.42%,143,193,31,63.84%,89,67.42%
2026-02-11,普涨,常规环境,224,149,197,27,136,88,66.52%,134,106,79.10%,149,197,27,66.52%,106,79.10%
2026-02-12,普涨,常规环境,224,154,196,28,148,76,68.75%,136,102,75.00%,154,196,28,68.75%,102,75.00%
2026-02-13,震荡,常规环境,224,105,209,15,102,122,46.88%,167,86,51.50%,105,209,15,46.88%,86,51.50%
2026-02-24,强下跌,常规环境,223,68,200,23,51,172,30.49%,185,53,28.65%,172,0,223,77.13%,150,81.08%
2026-02-25,强下跌,常规环境,223,66,196,27,41,182,29.60%,195,52,26.67%,182,0,223,81.61%,165,84.62%
2026-02-26,强下跌,常规环境,223,155,51,172,47,176,69.51%,193,139,72.02%,155,51,172,69.51%,139,72.02%
2026-02-27,强下跌,常规环境,223,71,193,30,47,176,31.84%,184,59,32.07%,71,193,30,31.84%,59,32.07%
