锚点日期,实际市场状态,市场代理状态,股票预测数,自适应阈值正确数,预测上涨数,预测下跌数,实际上涨数,实际下跌数,自适应阈值准确率,降噪后股票预测数,降噪后自适应阈值正确数,降噪后自适应阈值准确率,修正后正确数,修正后准确率,降噪后修正后正确数,降噪后修正后准确率
2025-07-01,普跌,常规,211,115,111,100,93,118,54.50%,111,64,57.66%,123,58.29%,67,60.36%
2025-07-15,强上涨,常规,211,165,184,27,166,45,78.20%,135,111,82.22%,171,81.04%,117,86.67%
2025-07-29,震荡,平稳高位横盘,211,100,88,123,98,113,47.39%,108,60,55.56%,100,47.39%,60,55.56%
2025-08-12,强上涨,常规,213,149,88,125,158,55,69.95%,141,110,78.01%,154,72.30%,115,81.56%
2025-08-26,普跌,常规,215,76,165,50,67,148,35.35%,171,58,33.92%,147,68.37%,121,70.76%
2025-09-09,普涨,弱回调,216,121,187,29,120,96,56.02%,136,79,58.09%,132,61.11%,90,66.18%
2025-09-23,震荡,恐慌弱势,215,121,210,5,117,98,56.28%,130,80,61.54%,121,56.28%,80,61.54%
2025-10-15,强下跌,强反弹,216,68,201,15,60,156,31.48%,149,45,30.20%,158,73.15%,114,76.51%
2025-11-12,强下跌,常规,217,69,197,20,57,160,31.80%,151,45,29.80%,160,73.73%,116,76.82%
2025-12-10,普跌,常规,218,94,209,9,88,130,43.12%,157,64,40.76%,130,59.63%,97,61.78%
