锚点日期,实际市场状态,市场风险标签,总股票数,观望数,出手数,出手准确数,出手上涨数,出手下跌数,实际上涨数,实际下跌数,覆盖率,出手准确率
2025-10-09,普跌,常规环境,216,214,2,1,0,2,1,1,0.93%,50.00%
2025-10-10,强下跌,常规环境,216,214,2,2,0,2,0,2,0.93%,100.00%
2025-10-13,强下跌,常规环境,216,214,2,2,1,1,1,1,0.93%,100.00%
2025-10-14,震荡,恐慌释放高,216,214,2,2,2,0,2,0,0.93%,100.00%
2025-10-15,强下跌,常规环境,216,214,2,2,1,1,1,1,0.93%,100.00%
2025-10-16,普跌,弱势延续高,216,214,2,1,2,0,1,1,0.93%,50.00%
2025-10-17,强上涨,恐慌释放高+弱势延续高,216,206,10,10,10,0,10,0,4.63%,100.00%
2025-10-20,强上涨,弱势延续高,215,205,10,10,10,0,10,0,4.65%,100.00%
2025-10-21,普涨,常规环境,215,213,2,2,0,2,0,2,0.93%,100.00%
2025-10-22,强上涨,常规环境,215,213,2,2,2,0,2,0,0.93%,100.00%
2025-10-23,普涨,常规环境,215,213,2,1,0,2,1,1,0.93%,50.00%
2025-10-24,普涨,过热回落高,215,213,2,0,0,2,2,0,0.93%,0.00%
2025-10-27,震荡,过热回落高,215,213,2,1,0,2,1,1,0.93%,50.00%
2025-10-28,震荡,常规环境,215,213,2,1,0,2,1,1,0.93%,50.00%
2025-10-29,普跌,常规环境,215,213,2,2,0,2,0,2,0.93%,100.00%
2025-10-30,震荡,恐慌释放高,215,213,2,1,0,2,1,1,0.93%,50.00%
2025-10-31,普跌,常规环境,215,213,2,2,0,2,0,2,0.93%,100.00%
