市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
常规环境,1354,470,968,386,414,940,34.71%,1037,332,32.02%,738,542,812,54.51%,590,56.89%
弱势延续高,2251,991,2215,36,965,1286,44.02%,1538,648,42.13%,1423,1455,796,63.22%,1054,68.53%
恐慌释放高,671,382,418,253,243,428,56.93%,500,287,57.40%,382,418,253,56.93%,287,57.40%
恐慌释放高+弱势延续高,452,224,452,0,224,228,49.56%,361,166,45.98%,372,226,226,82.30%,313,86.70%
过热回落高,225,117,120,105,48,177,52.00%,173,90,52.02%,117,120,105,52.00%,90,52.02%
