市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
常规环境,1354,534,1112,242,414,940,39.44%,1037,385,37.13%,1056,286,1068,77.99%,862,83.12%
弱势延续高,2251,1008,2172,79,965,1286,44.78%,1538,664,43.17%,1507,895,1356,66.95%,1095,71.20%
恐慌释放高,671,376,448,223,243,428,56.04%,500,283,56.60%,502,256,415,74.81%,399,79.80%
恐慌释放高+弱势延续高,452,235,433,19,224,228,51.99%,361,178,49.31%,373,219,233,82.52%,315,87.26%
过热回落高,225,68,199,26,48,177,30.22%,173,45,26.01%,177,0,225,78.67%,145,83.82%
