锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
2026-02-02,强上涨,恐慌释放高+弱势延续高,223,186,217,6,188,35,83.41%,147,126,85.71%,186,217,6,83.41%,126,85.71%
2026-02-03,普涨,弱势延续高,224,129,223,1,128,96,57.59%,117,68,58.12%,129,223,1,57.59%,68,58.12%
2026-02-04,普涨,常规环境,224,128,223,1,127,97,57.14%,94,51,54.26%,128,223,1,57.14%,51,54.26%
2026-02-05,普涨,常规环境,224,151,211,13,142,82,67.41%,137,103,75.18%,151,211,13,67.41%,103,75.18%
2026-02-06,震荡,常规环境,224,129,210,14,117,107,57.59%,124,79,63.71%,129,210,14,57.59%,79,63.71%
2026-02-09,普涨,过热回落高,224,127,222,2,125,99,56.70%,135,80,59.26%,127,222,2,56.70%,80,59.26%
2026-02-10,普涨,常规环境,224,145,213,11,138,86,64.73%,132,89,67.42%,145,213,11,64.73%,89,67.42%
2026-02-11,普涨,常规环境,224,143,201,23,136,88,63.84%,134,104,77.61%,143,201,23,63.84%,104,77.61%
2026-02-12,普涨,常规环境,224,148,216,8,148,76,66.07%,136,98,72.06%,148,216,8,66.07%,98,72.06%
2026-02-13,震荡,常规环境,224,104,220,4,102,122,46.43%,167,84,50.30%,104,220,4,46.43%,84,50.30%
2026-02-24,强下跌,常规环境,223,56,216,7,51,172,25.11%,185,41,22.16%,172,0,223,77.13%,150,81.08%
2026-02-25,强下跌,常规环境,223,84,170,53,41,182,37.67%,195,67,34.36%,84,170,53,37.67%,67,34.36%
2026-02-26,强下跌,常规环境,223,178,8,215,47,176,79.82%,193,163,84.46%,178,8,215,79.82%,163,84.46%
2026-02-27,强下跌,常规环境,223,147,85,138,47,176,65.92%,184,123,66.85%,147,85,138,65.92%,123,66.85%
