市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
常规环境,2354,1167,1253,1101,1288,1066,49.58%,1621,799,49.29%,1164,1264,1090,49.45%,795,49.04%
恐慌释放高,429,247,407,22,253,176,57.58%,321,194,60.44%,247,407,22,57.58%,194,60.44%
过热回落高,1707,997,1242,465,1070,637,58.41%,1094,661,60.42%,997,1242,465,58.41%,661,60.42%
