市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
常规环境,1354,534,1058,296,414,940,39.44%,1037,381,36.74%,1052,286,1068,77.70%,857,82.64%
弱势延续高,2251,1010,2174,77,965,1286,44.87%,1538,667,43.37%,1517,915,1336,67.39%,1101,71.59%
恐慌释放高,671,367,441,230,243,428,54.69%,500,274,54.80%,499,247,424,74.37%,397,79.40%
恐慌释放高+弱势延续高,452,233,441,11,224,228,51.55%,361,175,48.48%,374,224,228,82.74%,315,87.26%
过热回落高,225,72,193,32,48,177,32.00%,173,48,27.75%,177,0,225,78.67%,145,83.82%
