锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
2026-03-16,强下跌,常规环境,225,31,208,17,16,209,13.78%,218,25,11.47%,209,0,225,92.89%,207,94.95%
2026-03-19,强下跌,恐慌释放高+弱势延续高,226,39,226,0,39,187,17.26%,197,25,12.69%,187,0,226,82.74%,172,87.31%
2026-03-24,震荡,弱势延续高,226,122,226,0,122,104,53.98%,147,78,53.06%,139,175,51,61.50%,94,63.95%
2026-03-27,强下跌,常规环境,226,64,226,0,64,162,28.32%,161,38,23.60%,162,0,226,71.68%,123,76.40%
2026-04-01,震荡,常规环境,227,132,116,111,121,106,58.15%,129,86,66.67%,132,116,111,58.15%,86,66.67%
2026-04-07,强上涨,常规环境,227,189,227,0,189,38,83.26%,190,167,87.89%,189,227,0,83.26%,167,87.89%
2026-04-10,强上涨,过热回落高,227,153,193,34,165,62,67.40%,162,118,72.84%,153,193,34,67.40%,118,72.84%
2026-04-15,强上涨,常规环境,227,168,211,16,166,61,74.01%,160,130,81.25%,168,211,16,74.01%,130,81.25%
2026-04-20,普跌,常规环境,228,99,216,12,89,139,43.42%,164,72,43.90%,160,69,159,70.18%,124,75.61%
2026-04-24,普涨,常规环境,228,147,139,89,146,82,64.47%,152,101,66.45%,153,159,69,67.11%,106,69.74%
2026-04-27,普涨,常规环境,228,159,192,36,159,69,69.74%,159,122,76.73%,159,192,36,69.74%,122,76.73%
2026-04-28,强上涨,恐慌释放高,227,77,44,183,186,41,33.92%,195,60,30.77%,184,223,4,81.06%,169,86.67%
2026-04-29,强上涨,常规环境,228,178,225,3,179,49,78.07%,178,151,84.83%,178,225,3,78.07%,151,84.83%
2026-04-30,普涨,常规环境,228,159,191,37,158,70,69.74%,172,131,76.16%,159,191,37,69.74%,131,76.16%
2026-05-06,普涨,常规环境,228,144,153,75,155,73,63.16%,162,111,68.52%,155,194,34,67.98%,121,74.69%
2026-05-07,强下跌,过热回落高,228,47,205,23,26,202,20.61%,216,41,18.98%,190,16,212,83.33%,184,85.19%
