特征,入选次数,平均相关性绝对值,平均方向一致率
沪深300_5日涨跌幅_均值_近3日标准差,10,0.3015989969826719,1.0
当日涨跌幅极差,10,0.287733864123654,1.0
当日平均换手率_近5日标准差,10,0.2508917805680884,1.0
中证1000_5日涨跌幅_均值_近3日标准差,10,0.23124194934075493,1.0
当日平均振幅_近10日均值,10,0.2141103682566717,1.0
当日平均成交额_近10日均值,10,0.21007413512116818,1.0
当日大涨比例_3pct_近5日均值,10,0.2065822814413881,1.0
小盘强于中盘_5日_近5日标准差,10,0.20500510672623448,1.0
中证500_5日涨跌幅_均值_近3日标准差,10,0.19224186227476886,1.0
当日强涨比例_5pct_近3日均值,10,0.1920118786663581,1.0
当日平均成交量_近10日均值,10,0.1911494285531544,1.0
中证1000强于沪深300_5日_近3日斜率,10,0.18018269953593977,1.0
当日接近跌停比例,10,0.1660661276985469,1.0
当日大涨比例_3pct_近3日均值,10,0.16580036270515447,1.0
当日平均成交额,10,0.15980652962557895,1.0
沪深300_5日涨跌幅_均值_近10日均值,10,0.159499401987624,1.0
小盘强于中盘_5日_近3日斜率,10,0.1552385730567181,1.0
小盘强于中盘_5日_近3日标准差,10,0.15520204187075176,1.0
中证1000强于沪深300_5日_近5日变化,10,0.1538965919825255,1.0
中证500强于沪深300_5日_近3日斜率,10,0.15313101284122818,1.0
当日平均成交额_近3日均值,10,0.14417802992315312,1.0
当日平均成交额_近5日均值,10,0.13650891793025127,1.0
当日强涨比例_5pct,10,0.13438043089682797,1.0
行业涨跌分化度_近3日均值,10,0.1293277118272766,1.0
中证1000_5日涨跌幅_均值_近5日变化,10,0.12744763734193248,1.0
中证500强于沪深300_5日_近5日变化,10,0.11233969786421646,1.0
中证1000_5日涨跌幅_均值_近3日斜率,10,0.1105097082650514,1.0
当日涨跌幅标准差_近3日均值,10,0.10635995635899338,1.0
当日涨跌幅标准差_近3日斜率,10,0.10573417817602435,1.0
极端涨跌差_近3日标准差,10,0.09751821134029778,1.0
当日平均涨跌幅_近20日最高,9,0.34570662466255625,1.0
当日上涨比例_近20日最高,9,0.33210274548086005,1.0
当日大涨比例_3pct_近10日均值,9,0.26829159314785106,1.0
沪深300_5日涨跌幅_均值_近5日标准差,9,0.25683783791904413,1.0
当日平均涨跌幅_近10日最高,9,0.2423157006717389,1.0
弱势延续风险特征,9,0.22381706559795753,1.0
中证500_5日涨跌幅_均值_近5日标准差,9,0.20998567465328324,1.0
当日大涨比例_3pct_近5日标准差,9,0.20719531743638508,1.0
当日强涨比例_5pct_近3日标准差,9,0.18908080495111032,1.0
当日大涨比例_3pct_近10日标准差,9,0.1866009755973607,1.0
amp_mean_10_均值,9,0.18530786478050207,1.0
小盘强于中盘_5日_近10日标准差,9,0.16848520474900236,1.0
当日平均换手率_近10日均值,9,0.1594060800713969,1.0
极端涨跌差_近5日均值,9,0.15883563946036328,1.0
极端涨跌差_近3日均值,9,0.15212912081738802,1.0
行业涨跌分化度_近3日标准差,9,0.13776092373789844,1.0
当日平均换手率_近5日变化,9,0.12737293156615712,1.0
个股强于沪深300_5日相对强弱_均值,9,0.12197388632141758,1.0
行业涨跌分化度_近5日均值,9,0.11398820574761347,1.0
当日涨跌幅标准差_近5日变化,9,0.10582851210285343,1.0
当日平均涨跌幅_近5日最高,9,0.10193545978891919,1.0
行业涨跌分化度,9,0.10118461764130936,1.0
当日平均换手率,9,0.09833963565226574,1.0
