锚点日期,实际市场状态,市场风险标签,股票预测数,原始正确数,原始预测上涨数,原始预测下跌数,实际上涨数,实际下跌数,原始准确率,降噪后股票预测数,降噪后原始正确数,降噪后原始准确率,修正后正确数,修正后预测上涨数,修正后预测下跌数,修正后准确率,降噪后修正正确数,降噪后修正准确率
2025-07-01,普跌,常规环境,211,115,111,100,93,118,54.50%,111,64,57.66%,123,113,98,58.29%,67,60.36%
2025-07-15,强上涨,常规环境,211,165,184,27,166,45,78.20%,135,111,82.22%,171,198,13,81.04%,117,86.67%
2025-07-29,震荡,常规环境,211,111,88,123,98,113,52.61%,108,53,49.07%,100,203,8,47.39%,60,55.56%
2025-08-12,强上涨,常规环境,213,93,88,125,158,55,43.66%,141,60,42.55%,154,209,4,72.30%,115,81.56%
2025-08-26,普跌,常规环境,215,81,165,50,67,148,37.67%,171,65,38.01%,147,1,214,68.37%,121,70.76%
2025-09-09,普涨,常规环境,216,121,187,29,120,96,56.02%,136,79,58.09%,132,176,40,61.11%,90,66.18%
2025-09-23,震荡,恐慌释放高,215,120,210,5,117,98,55.81%,130,80,61.54%,120,210,5,55.81%,80,61.54%
2025-10-15,强下跌,常规环境,216,71,201,15,60,156,32.87%,149,47,31.54%,158,2,214,73.15%,114,76.51%
2025-11-12,强下跌,常规环境,217,69,197,20,57,160,31.80%,151,45,29.80%,160,0,217,73.73%,116,76.82%
2025-12-10,普跌,常规环境,218,91,209,9,88,130,41.74%,157,65,41.40%,130,0,218,59.63%,97,61.78%
