代码,名称,行业,板块,交易所,样本数,硬异常数,软异常数,通过清洗数,特征缺失偏高数,平均特征缺失率,硬异常率,软异常率
000062,深圳华强,其他电子Ⅱ,深市主板,深交所,261,0,9,261,4,0.015698587127158554,0.0,0.034482758620689655
002294,信立泰,化学制药,深市主板,深交所,261,0,9,261,4,0.015698587127158554,0.0,0.034482758620689655
002552,宝鼎科技,元件,深市主板,深交所,261,0,9,261,4,0.015698587127158554,0.0,0.034482758620689655
002989,中天精装,装修装饰Ⅱ,深市主板,深交所,261,0,9,261,4,0.015698587127158554,0.0,0.034482758620689655
003023,彩虹集团,小家电,深市主板,深交所,261,0,8,261,4,0.01577708006279435,0.0,0.03065134099616858
001287,中电港,其他电子Ⅱ,深市主板,深交所,261,0,8,261,4,0.015698587127158554,0.0,0.03065134099616858
001336,楚环科技,环保设备Ⅱ,深市主板,深交所,261,0,8,261,4,0.015698587127158554,0.0,0.03065134099616858
002436,兴森科技,元件,深市主板,深交所,261,0,8,261,4,0.015698587127158554,0.0,0.03065134099616858
002558,巨人网络,游戏Ⅱ,深市主板,深交所,261,0,8,261,4,0.015698587127158554,0.0,0.03065134099616858
002976,瑞玛精密,汽车零部件,深市主板,深交所,261,0,8,261,4,0.015698587127158554,0.0,0.03065134099616858
603496,恒为科技,计算机设备,沪市主板,上交所,252,0,7,252,4,0.0164240995202862,0.0,0.027777777777777776
600699,均胜电子,汽车零部件,沪市主板,上交所,261,0,7,261,4,0.01585557299843014,0.0,0.02681992337164751
001277,速达股份,专用设备,深市主板,深交所,261,0,7,261,4,0.015698587127158554,0.0,0.02681992337164751
002134,天津普林,元件,深市主板,深交所,261,0,7,261,4,0.015698587127158554,0.0,0.02681992337164751
002261,拓维信息,软件开发,深市主板,深交所,261,0,7,261,4,0.015698587127158554,0.0,0.02681992337164751
002971,和远气体,化学制品,深市主板,深交所,261,0,7,261,4,0.015698587127158554,0.0,0.02681992337164751
603396,金辰股份,光伏设备,沪市主板,上交所,261,0,7,261,4,0.015698587127158554,0.0,0.02681992337164751
605058,澳弘电子,元件,沪市主板,上交所,261,0,7,261,4,0.015698587127158554,0.0,0.02681992337164751
605086,龙高股份,非金属材料Ⅱ,沪市主板,上交所,261,0,7,261,4,0.015698587127158554,0.0,0.02681992337164751
605488,福莱新材,塑料,沪市主板,上交所,261,0,7,261,4,0.015698587127158554,0.0,0.02681992337164751
600547,山东黄金,贵金属,沪市主板,上交所,261,0,6,261,4,0.01577708006279435,0.0,0.022988505747126436
603358,华达科技,汽车零部件,沪市主板,上交所,261,0,6,261,4,0.01577708006279435,0.0,0.022988505747126436
000021,深科技,消费电子,深市主板,深交所,261,0,6,261,4,0.015698587127158554,0.0,0.022988505747126436
001395,亚联机械,专用设备,深市主板,深交所,261,0,6,261,4,0.015698587127158554,0.0,0.022988505747126436
002074,国轩高科,电池,深市主板,深交所,261,0,6,261,4,0.015698587127158554,0.0,0.022988505747126436
002985,北摩高科,航空装备Ⅱ,深市主板,深交所,261,0,6,261,4,0.015698587127158554,0.0,0.022988505747126436
003017,大洋生物,化学原料,深市主板,深交所,261,0,6,261,4,0.015698587127158554,0.0,0.022988505747126436
600895,张江高科,房地产开发,沪市主板,上交所,261,0,6,261,4,0.015698587127158554,0.0,0.022988505747126436
603211,晋拓股份,汽车零部件,沪市主板,上交所,261,0,6,261,4,0.015698587127158554,0.0,0.022988505747126436
603685,晨丰科技,光学光电子,沪市主板,上交所,261,0,6,261,4,0.015698587127158554,0.0,0.022988505747126436
603992,松霖科技,家居用品,沪市主板,上交所,261,0,6,261,4,0.015698587127158554,0.0,0.022988505747126436
002827,高争民爆,化学制品,深市主板,深交所,261,0,5,261,4,0.015934065934065936,0.0,0.019157088122605363
001228,永泰运,物流,深市主板,深交所,261,0,5,261,4,0.01577708006279435,0.0,0.019157088122605363
000762,西藏矿业,能源金属,深市主板,深交所,261,0,5,261,4,0.015698587127158554,0.0,0.019157088122605363
002655,共达电声,消费电子,深市主板,深交所,261,0,5,261,4,0.015698587127158554,0.0,0.019157088122605363
002838,道恩股份,塑料,深市主板,深交所,261,0,5,261,4,0.015698587127158554,0.0,0.019157088122605363
002921,联诚精密,汽车零部件,深市主板,深交所,261,0,5,261,4,0.015698587127158554,0.0,0.019157088122605363
603380,易德龙,消费电子,沪市主板,上交所,261,0,5,261,4,0.015698587127158554,0.0,0.019157088122605363
603489,八方股份,电机Ⅱ,沪市主板,上交所,261,0,5,261,4,0.015698587127158554,0.0,0.019157088122605363
603590,康辰药业,生物制品,沪市主板,上交所,261,0,5,261,4,0.015698587127158554,0.0,0.019157088122605363
603659,璞泰来,电池,沪市主板,上交所,261,0,5,261,4,0.015698587127158554,0.0,0.019157088122605363
603665,康隆达,服装家纺,沪市主板,上交所,261,0,5,261,4,0.015698587127158554,0.0,0.019157088122605363
603826,坤彩科技,非金属材料Ⅱ,沪市主板,上交所,261,0,5,261,4,0.015698587127158554,0.0,0.019157088122605363
